image,num_detections,avg_confidence,max_confidence,detections_per_class,inference_time
0024.jpg,0,0.0,0.0,{},0.023294925689697266
0030.jpg,0,0.0,0.0,{},0.030524253845214844
0032.jpg,0,0.0,0.0,{},0.02052140235900879
0033.jpg,0,0.0,0.0,{},0.024525880813598633
0044.jpg,0,0.0,0.0,{},0.023247241973876953
0045.jpg,0,0.0,0.0,{},0.03766179084777832
0049.jpg,1,0.16626887023448944,0.16626887023448944,{'boat': 1},0.03221011161804199
0050.jpg,0,0.0,0.0,{},0.04256892204284668
0052.jpg,0,0.0,0.0,{},0.0250246524810791
0055.jpg,1,0.17938674986362457,0.17938674986362457,{'boat': 1},0.029706954956054688
0057.jpg,1,0.2285006195306778,0.2285006195306778,{'boat': 1},0.028020381927490234
0059.jpg,1,0.16331195831298828,0.16331195831298828,{'boat': 1},0.028560161590576172
0064.jpg,1,0.18520919978618622,0.18520919978618622,{'boat': 1},0.04403519630432129
0066.jpg,0,0.0,0.0,{},0.0325169563293457
0071.jpg,0,0.0,0.0,{},0.02854156494140625
0077.jpg,0,0.0,0.0,{},0.02779674530029297
0079.jpg,1,0.16371266543865204,0.16371266543865204,{'boat': 1},0.032388925552368164
0082.jpg,1,0.17050801217556,0.17050801217556,{'boat': 1},0.03204679489135742
0087.jpg,1,0.1761041283607483,0.1761041283607483,{'boat': 1},0.021018266677856445
0102.jpg,1,0.16586315631866455,0.16586315631866455,{'boat': 1},0.030051469802856445
0108.jpg,0,0.0,0.0,{},0.022016525268554688
0110.jpg,0,0.0,0.0,{},0.026041507720947266
0114.jpg,0,0.0,0.0,{},0.0249483585357666
0116.jpg,2,0.15939557552337646,0.16371266543865204,{'boat': 2},0.022551298141479492
0124.jpg,0,0.0,0.0,{},0.03063678741455078
0129.jpg,0,0.0,0.0,{},0.030536651611328125
0169.jpg,0,0.0,0.0,{},0.04156804084777832
0177.jpg,0,0.0,0.0,{},0.03705739974975586
0182.jpg,0,0.0,0.0,{},0.027533531188964844
0188.jpg,0,0.0,0.0,{},0.03218793869018555
