image,num_detections,avg_confidence,max_confidence,detections_per_class,inference_time
0024.jpg,0,0.0,0.0,{},0.01904296875
0030.jpg,0,0.0,0.0,{},0.0353085994720459
0032.jpg,0,0.0,0.0,{},0.01737833023071289
0033.jpg,0,0.0,0.0,{},0.0330355167388916
0044.jpg,0,0.0,0.0,{},0.017817258834838867
0045.jpg,0,0.0,0.0,{},0.029924631118774414
0049.jpg,1,0.16626887023448944,0.16626887023448944,{'boat': 1},0.031064987182617188
0050.jpg,0,0.0,0.0,{},0.029055356979370117
0052.jpg,0,0.0,0.0,{},0.028327465057373047
0055.jpg,1,0.17938674986362457,0.17938674986362457,{'boat': 1},0.020384788513183594
0057.jpg,1,0.2285006195306778,0.2285006195306778,{'boat': 1},0.03705191612243652
0059.jpg,1,0.16331195831298828,0.16331195831298828,{'boat': 1},0.022147417068481445
0064.jpg,1,0.18520919978618622,0.18520919978618622,{'boat': 1},0.030235767364501953
0066.jpg,0,0.0,0.0,{},0.026003360748291016
0071.jpg,0,0.0,0.0,{},0.02506542205810547
0077.jpg,0,0.0,0.0,{},0.029053688049316406
0079.jpg,1,0.16371266543865204,0.16371266543865204,{'boat': 1},0.02528548240661621
0082.jpg,1,0.17050801217556,0.17050801217556,{'boat': 1},0.03104567527770996
0087.jpg,1,0.1761041283607483,0.1761041283607483,{'boat': 1},0.025555849075317383
0102.jpg,1,0.16586315631866455,0.16586315631866455,{'boat': 1},0.030043840408325195
0108.jpg,0,0.0,0.0,{},0.02804398536682129
0110.jpg,0,0.0,0.0,{},0.018788576126098633
0114.jpg,0,0.0,0.0,{},0.03253960609436035
0116.jpg,2,0.15939557552337646,0.16371266543865204,{'boat': 2},0.01930546760559082
0124.jpg,0,0.0,0.0,{},0.03171968460083008
0129.jpg,0,0.0,0.0,{},0.025551795959472656
0169.jpg,0,0.0,0.0,{},0.017024517059326172
0177.jpg,0,0.0,0.0,{},0.03152155876159668
0182.jpg,0,0.0,0.0,{},0.022539854049682617
0188.jpg,0,0.0,0.0,{},0.0318140983581543
